Zone,Area,SubArea,Pole,PoleType,Pole Status,Meter Type,Latitude,Longitude,RFID,RFID Match,Terminal,Location,Set F/W Version,Reported F/W Version,Set IO F/W Version,Reported IO F/W Version,Config ID,Config. Name,Collection Route,Collection Sub Route,Original Meter  Install Date,Terminal Install Date,Street Side,Street Direction,Street Address,Dome Colour,Block Number,Enforcement Route,Maintenance Route,Carrier,Warranty Expiry
Adeline,ADELINE,3000 ADELINE ST,ADL3023,Single Space,Active,MK5,37.854480000,-122.268974000,E00700001AF290E3,Yes,0277064,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/22/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3025,Single Space,Active,MK5,37.854437000,-122.268989000,E00700001AF290E5,Yes,0354725,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,12/28/2022,,,3000 ADELINE ST,,,,,Verizon4G,12/19/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3031,Single Space,Active,MK5,37.854073000,-122.269113000,E00700001AF290E7,Yes,0395854,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,03/28/2023,,,3000 ADELINE ST,,,,,Verizon4G,06/06/2022
Adeline,ADELINE,3000 ADELINE ST,ADL3035,Single Space,Active,MK5,37.853999000,-122.269147000,E00700001AF290E9,Yes,0321713,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3037,Single Space,Active,MK5,37.853921000,-122.269186000,E00700001AF290DD,Yes,0358225,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3041,Single Space,Active,MK5,37.853787000,-122.269230000,E00700001AF29211,Yes,0357542,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3043,Single Space,Active,MK5,37.853723000,-122.269245000,E00700001AF2922C,Yes,0371222,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3045,Single Space,Active,MK5,37.853669000,-122.269269000,E00700001AF291BE,Yes,0358306,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,11/20/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3047,Single Space,Active,MK5,37.853624000,-122.269292000,E00700001AF2922F,Yes,0387550,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3049,Single Space,Active,MK5,37.853565000,-122.269310000,E00700001AF291E8,Yes,0384063,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/01/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2725,Single Space,Active,MK5,37.859313000,-122.266907000,E00700001AF291BC,Yes,0284613,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,11/23/2022,,,2700 SHATTUCK AVE,,,,,Verizon4G,05/12/2022
Adeline,ADELINE,2700 Shattuck Ave,SH2731,Single Space,Active,MK5,37.859184000,-122.266899000,E00700001AF2916A,Yes,0322891,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,01/10/2022,,,2700 SHATTUCK AVE,,,,,Verizon4G,02/03/2022
Adeline,ADELINE,2700 Shattuck Ave,SH2733,Single Space,Active,MK5,37.859144000,-122.266887000,E00700001AF2916C,Yes,0384227,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/28/2021,,,2700 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2734,Single Space,Active,MK5,37.858935000,-122.267049000,E00700002088767C,Yes,0509194,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/23/2014,01/10/2023,,,2700 SHATTUCK AVE,,,,,Verizon4G,04/24/2022
Adeline,ADELINE,2700 Shattuck Ave,SH2736,Single Space,Active,MK5,37.858904000,-122.267049000,E007000020887691,Yes,0343780,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/23/2014,03/24/2021,,,2700 SHATTUCK AVE,,,,,Verizon4G,06/08/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2738,Single Space,Active,MK5,37.858868000,-122.267041000,E00700001AF2926D,Yes,0295361,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/23/2014,03/06/2024,,,2700 SHATTUCK AVE,,,,,Verizon4G,
Adeline,ADELINE,2700 Shattuck Ave,SH2740,Single Space,Active,MK5,37.858823000,-122.267034000,E007000020887609,Yes,0342848,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/23/2014,11/03/2023,,,2700 SHATTUCK AVE,,,,,Verizon4G,06/08/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2741,Single Space,Active,MK5,37.858891000,-122.266869000,E00700001AF291A9,Yes,0384023,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/28/2021,,,2700 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2742,Single Space,Active,MK5,37.858776087,-122.267035732,E0070000208876FA,Yes,0342906,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/03/2018,01/12/2023,,,,,,,,Verizon4G,06/02/2022
Adeline,ADELINE,2700 Shattuck Ave,SH2743,Single Space,Active,MK5,37.858825000,-122.266868000,E00700001AF29169,Yes,0383951,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/28/2021,,,2700 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2744,Single Space,Active,MK5,37.858706543,-122.267025542,E0070000208876F1,Yes,0310953,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/03/2018,01/12/2023,,,,,,,,Verizon4G,06/02/2022
Adeline,ADELINE,2700 Shattuck Ave,SH2745,Single Space,Active,MK5,37.858775000,-122.266862000,E00700001AF2916F,Yes,0386328,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/10/2021,,,2700 SHATTUCK AVE,,,,,Verizon4G,08/31/2021
Adeline,ADELINE,2700 Shattuck Ave,SH2747,Single Space,Active,MK5,37.858722000,-122.266853000,E00700001AF29167,Yes,0416661,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/10/2021,,,2700 SHATTUCK AVE,,,,,Verizon4G,08/31/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2805,Single Space,Active,MK5,37.858370146,-122.266818290,E00700001B7A0811,Yes,0438681,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/03/2018,02/17/2021,,,,,,,,Verizon4G,
Adeline,ADELINE,2800 Shattuck Ave,SH2807,Single Space,Active,MK5,37.858297000,-122.266797000,E00700001AF29210,Yes,0336013,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,09/22/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,10/12/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2811,Single Space,Active,MK5,37.858206000,-122.266796000,E00700001AF291C2,Yes,0464721,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,09/22/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,08/23/2022
Adeline,ADELINE,2800 Shattuck Ave,SH2813,Single Space,Active,MK5,37.858145000,-122.266782000,E00700001AF291EB,Yes,0440579,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,05/29/2019,,,2800 SHATTUCK AVE,,,,,Verizon4G,06/18/2020
Adeline,ADELINE,2800 Shattuck Ave,SH2815,Single Space,Active,MK5,37.858092000,-122.266780000,E00700001AF291EA,Yes,0367518,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,11/16/2022,,,2800 SHATTUCK AVE,,,,,Verizon4G,03/07/2022
Adeline,ADELINE,2800 Shattuck Ave,SH2829,Single Space,Active,MK5,37.857442000,-122.266701000,E00700001AF291AD,Yes,0342894,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/30/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2831,Single Space,Active,MK5,37.857394000,-122.266698000,E00700001AF29174,Yes,0367937,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/30/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2833,Single Space,Active,MK5,37.857340000,-122.266685000,E00700001AF291B0,No,0343092,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/30/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2835,Single Space,Active,MK5,37.857276000,-122.266681000,E00700001AF291BA,Yes,0488926,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/30/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2837,Single Space,Active,MK5,37.857234000,-122.266669000,E00700001AF29173,Yes,0365870,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/30/2021,,,2800 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2800 Shattuck Ave,SH2847,Single Space,Active,MK5,37.856970000,-122.266662000,E00700001B7A07AC,Yes,0359786,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,12/05/2018,11/15/2021,,,,,,,,Verizon4G,02/03/2022
Adeline,ADELINE,2900 SHATTUCK AVE,SH2901,Single Space,Active,MK5,37.856609665,-122.266609554,E0070000208876E0,Yes,0272458,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,05/27/2022,05/31/2022,,,,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2903,Single Space,Active,MK5,37.856552381,-122.266606105,E00700001AF29168,Yes,0344625,Assigned to pole,52.79.5,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,03/29/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,06/08/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2905,,Active,MK5,37.856418000,-122.266577000,E00700001AF29214,Yes,0353998,Assigned to pole,52.79.8,52.80.0,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,05/21/2013,04/21/2023,,,2900 SHATTUCK AVE,,,,,ATT4G,07/24/2022
Adeline,ADELINE,2900 SHATTUCK AVE,SH2906,,Active,MK5,37.856455000,-122.266769000,E00700001AF2915F,Yes,0371020,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,07/22/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2907,Single Space,Active,MK5,37.870154000,-122.271231000,E0070000208876AC,Yes,0368383,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,05/31/2022,05/31/2022,,,,,,,,Verizon4G,03/07/2022
Adeline,ADELINE,2900 SHATTUCK AVE,SH2908,,Active,MK5,37.856390000,-122.266767000,E00700001AF29172,Yes,0361726,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,07/22/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2913,Single Space,Active,MK5,37.870154000,-122.271231000,E00700001AF29272,Yes,0355614,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,10/25/2023,10/25/2023,,,,,,,,Verizon4G,01/05/2022
Adeline,ADELINE,2900 SHATTUCK AVE,SH2915,Single Space,Active,MK5,37.870154000,-122.271231000,E00700001AF2925F,Yes,0345408,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,10/25/2023,05/31/2024,,,,,,,,Verizon4G,06/08/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2916,,Active,MK5,37.856176000,-122.266725000,E00700001AF291AE,No,0385904,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,12/15/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,03/07/2022
Adeline,ADELINE,2900 SHATTUCK AVE,SH2918,,Active,MK5,37.856119000,-122.266727000,E00700001AF291B2,Yes,0353324,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,03/03/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,09/20/2018
Adeline,ADELINE,2900 SHATTUCK AVE,SH2920,,Active,MK5,37.856066000,-122.266711000,E00700001AF290BD,Yes,0353423,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/08/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,08/31/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2921,Single Space,Active,MK5,37.855575000,-122.266463000,E00700001AF292A2,Yes,0324515,Assigned to pole,52.79.5,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,10/25/2023,10/25/2023,,,,,,,,Verizon4G,07/13/2017
Adeline,ADELINE,2900 SHATTUCK AVE,SH2922,,Active,MK5,37.855990000,-122.266701000,E00700001AF290BE,Yes,0498383,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,11/15/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,10/12/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2923,Single Space,Active,MK5,37.855575000,-122.266463000,E00700001AF29266,Yes,0386194,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,10/25/2023,10/25/2023,,,,,,,,Verizon4G,07/06/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2924,,Active,MK5,37.855927000,-122.266701000,E00700001AF290BF,Yes,0367982,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/08/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,08/31/2021
Adeline,ADELINE,2900 SHATTUCK AVE,SH2925,,Active,MK5,37.855838000,-122.266502000,E00700001AF290C1,Yes,0386373,Assigned to pole,52.79.8,52.79.8,,,50623,M5 GB Adeline/Shattuck / 2 Hr / COVID-19 / $1.50/hr,,,08/29/2012,06/08/2021,,,2900 SHATTUCK AVE,,,,,Verizon4G,08/31/2021
